subject_group,subject_enjoyment,learning_style,hobby,interest_field,problem_approach,work_environment,decision_making,team_role,motivation,longterm_goal,chosen_major
subj_group_econ,subj_enjoy_econ,learn_style_visual,hobby_create,interest_field_business,problem_approach_data,work_env_flexible,decision_logic,team_role_idea,motivation_reward,goal_dynamic,Finance
subj_group_econ,subj_enjoy_econ,learn_style_visual,hobby_create,interest_field_business,problem_approach_data,work_env_flexible,decision_logic,team_role_idea,motivation_reward,goal_dynamic,Finance
subj_group_practical,subj_enjoy_practical,learn_style_practical,hobby_volunteer,interest_field_health,problem_approach_trial,work_env_structured,decision_values,team_role_support,motivation_impact,goal_meaning,Nursing
subj_group_practical,subj_enjoy_practical,learn_style_practical,hobby_volunteer,interest_field_health,problem_approach_trial,work_env_structured,decision_values,team_role_support,motivation_impact,goal_meaning,Nursing
subj_group_practical,subj_enjoy_practical,learn_style_practical,hobby_volunteer,interest_field_health,problem_approach_trial,work_env_structured,decision_values,team_role_support,motivation_impact,goal_meaning,Nursing
subj_group_science,subj_enjoy_science,learn_style_practical,hobby_volunteer,interest_field_nature,problem_approach_data,work_env_competitive,decision_logic,team_role_expert,motivation_success,goal_growth,Environmental Science
subj_group_science,subj_enjoy_science,learn_style_practical,hobby_volunteer,interest_field_nature,problem_approach_data,work_env_competitive,decision_logic,team_role_expert,motivation_success,goal_growth,Environmental Science
subj_group_science,subj_enjoy_science,learn_style_practical,hobby_volunteer,interest_field_nature,problem_approach_data,work_env_competitive,decision_logic,team_role_expert,motivation_success,goal_growth,Environmental Science
subj_group_lang,subj_enjoy_lang,learn_style_read,hobby_watch,interest_field_history,problem_approach_creative,work_env_quiet,decision_intuition,team_role_planner,motivation_learn,goal_balance,Philosophy
subj_group_lang,subj_enjoy_lang,learn_style_read,hobby_watch,interest_field_history,problem_approach_creative,work_env_quiet,decision_intuition,team_role_planner,motivation_learn,goal_balance,Philosophy
subj_group_lang,subj_enjoy_lang,learn_style_read,hobby_watch,interest_field_history,problem_approach_creative,work_env_quiet,decision_intuition,team_role_planner,motivation_learn,goal_balance,Philosophy
subj_group_social,subj_enjoy_social,learn_style_discuss,hobby_read,interest_field_social,problem_approach_consult,work_env_lively,decision_values,team_role_leader,motivation_impact,goal_meaning,Political Science
subj_group_social,subj_enjoy_social,learn_style_discuss,hobby_read,interest_field_social,problem_approach_consult,work_env_lively,decision_values,team_role_leader,motivation_impact,goal_meaning,Political Science
subj_group_social,subj_enjoy_social,learn_style_discuss,hobby_read,interest_field_social,problem_approach_consult,work_env_lively,decision_values,team_role_leader,motivation_impact,goal_meaning,Political Science
subj_group_science,subj_enjoy_science,learn_style_practical,hobby_games,interest_field_tech,problem_approach_data,work_env_competitive,decision_logic,team_role_expert,motivation_success,goal_growth,Data Science
subj_group_science,subj_enjoy_science,learn_style_practical,hobby_games,interest_field_tech,problem_approach_data,work_env_competitive,decision_logic,team_role_expert,motivation_success,goal_growth,Data Science
subj_group_science,subj_enjoy_science,learn_style_practical,hobby_games,interest_field_tech,problem_approach_data,work_env_competitive,decision_logic,team_role_expert,motivation_success,goal_growth,Data Science
subj_group_lang,subj_enjoy_lang,learn_style_read,hobby_read,interest_field_history,problem_approach_creative,work_env_quiet,decision_intuition,team_role_planner,motivation_learn,goal_balance,Classics
subj_group_lang,subj_enjoy_lang,learn_style_read,hobby_read,interest_field_history,problem_approach_creative,work_env_quiet,decision_intuition,team_role_planner,motivation_learn,goal_balance,Classics
subj_group_lang,subj_enjoy_lang,learn_style_read,hobby_read,interest_field_history,problem_approach_creative,work_env_quiet,decision_intuition,team_role_planner,motivation_learn,goal_balance,Classics
subj_group_social,subj_enjoy_social,learn_style_discuss,hobby_social,interest_field_social,problem_approach_consult,work_env_lively,decision_values,team_role_leader,motivation_impact,goal_meaning,Anthropology
subj_group_social,subj_enjoy_social,learn_style_discuss,hobby_social,interest_field_social,problem_approach_consult,work_env_lively,decision_values,team_role_leader,motivation_impact,goal_meaning,Anthropology
subj_group_social,subj_enjoy_social,learn_style_discuss,hobby_social,interest_field_social,problem_approach_consult,work_env_lively,decision_values,team_role_leader,motivation_impact,goal_meaning,Anthropology
subj_group_science,subj_enjoy_science,learn_style_practical,hobby_create,interest_field_tech,problem_approach_data,work_env_competitive,decision_logic,team_role_expert,motivation_create,goal_growth,Cybersecurity
subj_group_science,subj_enjoy_science,learn_style_practical,hobby_create,interest_field_tech,problem_approach_data,work_env_competitive,decision_logic,team_role_expert,motivation_create,goal_growth,Cybersecurity
subj_group_science,subj_enjoy_science,learn_style_practical,hobby_create,interest_field_tech,problem_approach_data,work_env_competitive,decision_logic,team_role_expert,motivation_create,goal_growth,Cybersecurity
subj_group_science,subj_enjoy_science,learn_style_practical,hobby_games,interest_field_tech,problem_approach_data,work_env_competitive,decision_logic,team_role_expert,motivation_success,goal_growth,Artificial Intelligence
subj_group_science,subj_enjoy_science,learn_style_practical,hobby_games,interest_field_tech,problem_approach_data,work_env_competitive,decision_logic,team_role_expert,motivation_success,goal_growth,Artificial Intelligence
subj_group_science,subj_enjoy_science,learn_style_practical,hobby_games,interest_field_tech,problem_approach_data,work_env_competitive,decision_logic,team_role_expert,motivation_success,goal_growth,Artificial Intelligence
subj_group_social,subj_enjoy_social,learn_style_discuss,hobby_social,interest_field_social,problem_approach_consult,work_env_lively,decision_values,team_role_leader,motivation_impact,goal_meaning,Psychology
subj_group_social,subj_enjoy_social,learn_style_discuss,hobby_social,interest_field_social,problem_approach_consult,work_env_lively,decision_values,team_role_leader,motivation_impact,goal_meaning,Psychology
subj_group_social,subj_enjoy_social,learn_style_discuss,hobby_social,interest_field_social,problem_approach_consult,work_env_lively,decision_values,team_role_leader,motivation_impact,goal_meaning,Psychology
